sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,Bait,WohnMischLocker,WohnMischMittel,WohnMischDicht,WohMischSolidGrossVol,BueroVerwalt,HandelSolidaer,GeschaeftMisch,MischNutzungWenigDicht,Industrie,KulturFreizeitMesse,Bildung,Baustelle,StrassenraumBegruent,StrassenraumUnbegruent,BahnhoefeBahnanlagen,ParkGruenanlage,SportOutdoor,Acker,Weingarten,GaertnereiObstplantagen,Wald,Wiese,GewaesserBachbett,Naturschutz,Weinbau,PrecipitationDaily,PrecipitationYearly,SunYearly,TminYearly,TmaxYearly,Bezirke,Altitude,BiotonnenDist,Imperviousness,Treecover,BuildingArea,BuildingVol,RR_daily,SA_daily,TN_daily,TX_daily,RR_monthly,SA_monthly,TM_monthly,RR_yearly,SA_yearly,TM_yearly
VCFC_001,VCF24A001,2024-06-19,170,48.2909924,16.3305821,9,8,35,13,39,0,5,0,0,1,0,0,0,net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.27355567363257,17918.4365134973,8.22282747567319,17.2434264924911,0,212.657592773437,26.8700580596923,13.1363639831542,6.28999996185302,0.0,0.0123457293957471,2.207142857142857,27925.714285714286,14.657142857142857,25.014285714285712,86.4,877320.0,21.3,858.6,7032960.0,13.7
VCFC_002,VCF24A003,2024-07-08,189,48.24752,16.439,1,0,0,0,0,0,3,0,0,0,0,0,0,none,0,0,48,0,0,0,0,0,0,0,0,0,0,24,0,26,0,0,0,0,0,0,0,0,0,0.0,1.94856152961569,18879.2469751908,8.70208174278574,17.6049986856594,22,160.450973510742,5.0990195274353,13.2272729873657,0.939999997615814,0.194786489009857,3.39240837097168,0.5333333333333333,27936.0,18.553333333333335,28.433333333333334,19.1,937800.0,24.5,720.8,7248600.0,13.9
VCFC_003,VCF24A022,2024-06-17,168,48.211826,16.392461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0.0,1.97936682407026,18795.9565223598,9.66314273297314,17.875431304577,3,161.688171386718,1.0,13.8181819915771,0.0,0.441401243209838,10.1757278442382,4.8500000000000005,22011.428571428572,15.65,24.55,79.1,860400.0,22.3,735.1,7221600.0,14.5
VCFC_004,VCF24A012,2024-06-21,172,48.176807,16.36726,4,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0.0,1.99533299068406,18766.9415081935,9.2747323510134,17.6035732448968,10,210.316940307617,2.0,15.6363639831542,0.0,0.483576744794845,33.3235435485839,1.6142857142857143,26665.714285714286,15.914285714285715,25.842857142857145,80.3,851760.0,21.7,752.5,7217640.0,14.1
VCFC_005,VCF24A022,2024-06-25,176,48.211826,16.392461,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0.0,1.97936682407026,18795.9565223598,9.66314273297314,17.875431304577,3,161.688171386718,1.0,13.8181819915771,0.0,0.441401243209838,10.1757278442382,1.1357142857142857,30780.0,16.821428571428573,26.935714285714287,79.1,860400.0,22.3,735.1,7221600.0,14.5
VCFC_006,VCF24A054,2024-06-23,174,48.238611,16.38297,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,37,10,16,0,0,0,0,0,0,0,0,0,0.0,2.0345974893468,18914.44382139,8.92406113729088,17.6722462226585,20,163.12109375,1.0,28.7272720336914,1.58000004291534,0.228619992733001,5.93870019912719,1.8928571428571428,26177.14285714286,15.992857142857144,26.24285714285714,78.4,891000.0,21.7,751.5,7251840.0,14.0
VCFC_007,VCF24M004,2024-06-26,177,48.2024576,16.3912598,47,1,0,0,0,0,4,0,1,0,0,0,0,banana,0,0,0,2,0,23,11,0,0,14,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0.0,1.98263510489194,18777.0928380481,9.7222375432938,17.8571034672238,3,170.139892578125,0.0,11.8181819915771,0.0,0.41089054942131,10.6160821914672,1.0714285714285714,33480.0,16.70714285714286,27.385714285714283,79.2,858960.0,22.2,736.8,7208280.0,14.5
VCFC_008,VCF24M006,2024-06-26,177,48.1993004,16.3526577,0,0,0,0,0,0,6,0,0,0,0,0,0,apricot,0,0,13,0,0,0,45,0,0,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0.0,2.04668715679293,18765.1961270032,10.0110081195612,17.8490602400245,6,197.396942138671,1.41421353816986,15.4545450210571,0.0,0.543398976325988,32.9707794189453,1.2,33017.142857142855,17.15,27.514285714285716,83.7,853920.0,22.4,780.1,7246440.0,14.7
VCFC_009,VCF24A006,2024-06-24,175,48.232858,16.290515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,53,0,0,0,0,10,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0.0,2.38243214307497,18227.2135772746,7.62351401182986,16.7424359969794,17,253.230209350585,0.0,8.0,3.75,0.276261866092681,30.3994331359863,1.8642857142857143,27257.14285714286,14.450000000000001,25.107142857142858,94.0,849960.0,20.4,918.4,7054560.0,13.0
VCFC_010,VCF24M005,2024-06-26,177,48.1984457,16.363255,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,29,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0.0,2.02415618607753,18749.4268433388,10.2326520833212,17.9508249536994,6,171.027938842773,1.41421353816986,7.27272748947143,0.0,0.50504857301712,12.3792572021484,1.157142857142857,33274.28571428572,17.357142857142858,27.74285714285714,82.2,857520.0,22.7,768.8,7223040.0,14.9
