Metadata,Site,Vienna_woods_1V,Vienna_woods_1O,Vienna_woods_2V,Vienna_woods_2O,Vienna_woods_3V,Vienna_woods_3O,Vienna_woods_4V,Vienna_woods_4O,Peripheral_garden_1V,Peripheral_garden_1O,Peripheral_garden_2V,Peripheral_garden_2O,Peripheral_garden_3V,Peripheral_garden_3O,Peripheral_garden_4V,Peripheral_garden_4O,Urban_woods_1V,Urban_woods_1O,Urban_woods_2V,Urban_woods_2O,Urban_woods_3V,Urban_woods_3O,Urban_woods_4V,Urban_woods_4O,Central_garden_1V,Central_garden_1O,Central_garden_2V,Central_garden_2O,Central_garden_3V,Central_garden_3O,Central_garden_4V,Central_garden_4O,City_park_1V,City_park_1O,City_park_2V,City_park_2O,City_park_3V,City_park_3O,City_park_4V,City_park_4O,Riverine_forest_1V,Riverine_forest_1O,Riverine_forest_2V,Riverine_forest_2O,Riverine_forest_3V,Riverine_forest_3O,Riverine_forest_4V,Riverine_forest_4O,Plowland_garden_1V,Plowland_garden_1O,Plowland_garden_2V,Plowland_garden_2O,Plowland_garden_3V,Plowland_garden_3O,Plowland_garden_4V,Plowland_garden_4O
Sampling_date,All,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4,4
Sex,All,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O,V,O
Species,Site,Vienna_woods_1V,Vienna_woods_1O,Vienna_woods_2V,Vienna_woods_2O,Vienna_woods_3V,Vienna_woods_3O,Vienna_woods_4V,Vienna_woods_4O,Peripheral_garden_1V,Peripheral_garden_1O,Peripheral_garden_2V,Peripheral_garden_2O,Peripheral_garden_3V,Peripheral_garden_3O,Peripheral_garden_4V,Peripheral_garden_4O,Urban_woods_1V,Urban_woods_1O,Urban_woods_2V,Urban_woods_2O,Urban_woods_3V,Urban_woods_3O,Urban_woods_4V,Urban_woods_4O,Central_garden_1V,Central_garden_1O,Central_garden_2V,Central_garden_2O,Central_garden_3V,Central_garden_3O,Central_garden_4V,Central_garden_4O,City_park_1V,City_park_1O,City_park_2V,City_park_2O,City_park_3V,City_park_3O,City_park_4V,City_park_4O,Riverine_forest_1V,Riverine_forest_1O,Riverine_forest_2V,Riverine_forest_2O,Riverine_forest_3V,Riverine_forest_3O,Riverine_forest_4V,Riverine_forest_4O,Plowland_garden_1V,Plowland_garden_1O,Plowland_garden_2V,Plowland_garden_2O,Plowland_garden_3V,Plowland_garden_3O,Plowland_garden_4V,Plowland_garden_4O
Amiota_variegata,All,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chymomyza_amoena,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_busckii,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_funebris,All,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_immigrans,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,16,0,8,0,1,0,1,0,2,0,0,0,0,3,6,11,17,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_histrio,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_kuntzei,All,0,0,2,0,5,0,8,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
